  Dados detalhados das AIH - por residência - Brasil
Valor aprovado por Procedimento e Ano atendimento
Período:Jun/2020-Out/2022
"Procedimento";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"Total"
"0416040217 GASTRECTOMIA PARCIAL EM ONCOLOGIA";-;-;-;-;-;-;-;-;-;-;-;-;5444470,34;8755988,60;6852548,81;21053007,75
"0416040225 METASTASECTOMIA HEPATICA EM ONCOLOGIA";-;-;-;-;-;-;-;-;-;-;-;1585,23;1175447,12;1711260,91;1229914,80;4118208,06
"0416040233 COLECISTECTOMIA EM ONCOLOGIA";-;-;-;-;-;-;-;-;-;-;-;-;314478,23;517186,40;362259,13;1193923,76
"0416040241 RESSECCAO AMPLIADA DE VIA BILIAR EXTRA-HEPATICA EM ONCOLOGIA";-;-;-;-;-;-;-;-;-;-;-;-;142486,69;168044,24;141276,81;451807,74
"0416040250 RESSECCAO DE TUMOR RETROPERITONIAL EM ONCOLOGIA";-;-;-;-;-;-;-;-;-;-;-;-;3325122,51;5937648,33;4856716,40;14119487,24
"0416040268 RESSECCAO ALARGADA DE TUMOR DE PARTES MOLES DE PAREDE ABDOMINAL EM ONCOLOGIA";-;-;-;-;-;-;-;-;-;-;-;-;1747562,77;2576053,15;2391137,67;6714753,59
"0416040276 RESSECCAO ALARGADA DE TUMOR DE INTESTINO EM ONCOLOGIA";-;-;-;-;-;-;-;-;-;-;-;-;5028893,32;8195952,89;6499525,69;19724371,90
"0416040284 IMPLANTACAO ENDOSCOPICA DE STENT ESOFAGICO";-;-;-;-;-;-;-;-;-;-;-;-;405688,19;488890,07;257189,60;1151767,86
"0416040292 PERITONECTOMIA EM ONCOLOGIA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;54741,65;54741,65
"0416040306 QUIMIOPERFUSAO INTRAPERITONEAL HIPERTERMICA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;44913,38;44913,38
"0416050018 AMPUTACAO ABDOMINO-PERINEAL DE RETO EM ONCOLOGIA";-;-;-;-;-;-;-;-;-;-;-;-;4161773,75;6631168,81;5142656,91;15935599,47
"0416050026 COLECTOMIA PARCIAL (HEMICOLECTOMIA) EM ONCOLOGIA";-;-;-;-;-;-;-;-;-;-;-;-;7240521,38;11348098,44;9199790,23;27788410,05
"0416050034 COLECTOMIA TOTAL EM ONCOLOGIA";-;-;-;-;-;-;-;-;-;-;-;-;2262860,44;3969752,32;2638295,21;8870907,97
"0416050050 EXCISAO LOCAL DE TUMOR DO RETO EM ONCOLOGIA";-;-;-;-;-;-;-;-;-;-;-;-;291076,76;567712,44;428171,12;1286960,32
"0416050077 RETOSSIGMOIDECTOMIA ABDOMINAL EM ONCOLOGIA";-;-;-;-;-;-;-;-;-;-;-;6115,12;32344696,25;50498780,37;39157749,51;122007341,25
"0416050093 EXENTERACAO PELVICA POSTERIOR EM ONCOLOGIA";-;-;-;-;-;-;-;-;-;-;-;-;1300323,93;1902303,23;1389986,10;4592613,26
"0416050107 EXENTERACAO PELVICA TOTAL EM ONCOLOGIA";-;-;-;-;-;-;-;-;-;-;-;-;1599111,29;2315507,05;1654986,80;5569605,14
"0416050115 PROCTOCOLECTOMIA TOTAL EM ONCOLOGIA";-;-;-;-;-;-;-;-;-;-;-;-;541620,71;949866,28;806779,01;2298266,00
"0416060013 AMPUTACAO CONICA DE COLO DE UTERO COM COLPECTOMIA EM ONCOLOGIA";-;-;-;-;-;-;-;-;-;-;-;-;2331192,13;3512033,69;3001159,16;8844384,98
"0416060021 ANEXECTOMIA UNI / BILATERAL EM ONCOLOGIA";-;-;-;-;-;-;-;-;-;-;-;-;2598750,49;4750044,96;3622475,67;10971271,12
"0416060030 COLPECTOMIA EM ONCOLOGIA";-;-;-;-;-;-;-;-;-;-;-;-;188822,73;295003,70;251006,27;734832,70
"0416060056 HISTERECTOMIA COM RESSECCAO DE ORGAOS CONTIGUOS EM ONCOLOGIA";-;-;-;-;-;-;-;-;-;-;-;-;6269175,03;10649381,83;9526108,57;26444665,43
"0416060064 HISTERECTOMIA TOTAL AMPLIADA EM ONCOLOGIA";-;-;-;-;-;-;-;-;-;-;-;-;15261905,45;26528187,23;19748849,94;61538942,62
"0416060080 TRAQUELECTOMIA RADICAL EM ONCOLOGIA";-;-;-;-;-;-;-;-;-;-;-;-;3406244,80;5950347,28;5168816,88;14525408,96
"0416060099 VULVECTOMIA TOTAL AMPLIADA C/ LINFADENECTOMIA EM ONCOLOGIA";-;-;-;-;-;-;-;-;-;-;-;-;894323,35;1314076,63;1100827,83;3309227,81
"0416060102 VULVECTOMIA PARCIAL EM ONCOLOGIA";-;-;-;-;-;-;-;-;-;-;-;-;497909,44;881116,50;663523,06;2042549,00
"0416060110 HISTERECTOMIA COM OU SEM ANEXECTOMIA (UNI / BILATERAL) EM ONCOLOGIA";-;-;-;-;-;-;-;-;-;-;-;-;8004116,58;13494128,34;11199983,70;32698228,62
"0416060129 LAPAROTOMIA PARA AVALIACAO DE TUMOR DE OVARIO EM ONCOLOGIA";-;-;-;-;-;-;-;-;-;-;-;-;15158014,32;26543000,25;20937965,48;62638980,05
"0416080014 EXCISAO E ENXERTO DE PELE EM ONCOLOGIA";-;-;-;-;-;-;-;-;-;-;-;-;749958,75;1313028,51;1225013,77;3288001,03
"0416080030 EXCISAO E SUTURA COM PLASTICA EM Z NA PELE EM ONCOLOGIA";-;-;-;-;-;-;-;-;-;-;-;-;3471595,91;6132033,79;6103457,75;15707087,45
"0416080081 RECONSTRUCAO COM RETALHO MIOCUTANEO (QUALQUER PARTE) EM ONCOLOGIA";-;-;-;-;-;-;-;-;-;-;-;-;44587661,00;82789976,30;72809777,83;200187415,13
"0416080090 RECONSTRUCAO POR MICROCIRURGIA (QUALQUER PARTE) EM ONCOLOGIA";-;-;-;-;-;-;-;-;-;-;-;-;758732,83;1143682,80;1061024,56;2963440,19
"0416080111 RECONSTRUCAO COM RETALHO OSTEOMIOCUTANEO EM ONCOLOGIA";-;-;-;-;-;-;-;-;-;-;-;-;384324,97;549843,19;392366,36;1326534,52
"0416080120 EXTIRPACAO MULTIPLA DE LESAO DA PELE OU TECIDO CELULAR SUBCUTANEO EM ONCOLOGIA";-;-;-;-;-;-;-;-;-;-;-;-;2430636,25;4824091,57;4534019,08;11788746,90
"0416090010 AMPUTACAO / DESARTICULACAO DE MEMBROS INFERIORES EM ONCOLOGIA";-;-;-;-;-;-;-;-;-;-;-;-;1435218,78;2519768,10;1952158,12;5907145,00
"0416090028 AMPUTACAO / DESARTICULACAO DE MEMBROS SUPERIORES EM ONCOLOGIA";-;-;-;-;-;-;-;-;-;-;-;-;517058,25;1082781,13;735827,50;2335666,88
"0416090036 HEMIPELVECTOMIA EM ONCOLOGIA";-;-;-;-;-;-;-;-;-;-;-;-;122271,87;285439,81;192045,99;599757,67
"0416090079 SACRALECTOMIA (ENDOPELVECTOMIA) EM ONCOLOGIA";-;-;-;-;-;-;-;-;-;-;-;-;189842,51;268566,91;191639,93;650049,35
"0416090109 RESSECCAO DE TUMOR OSSEO COM SUBSTITUICAO (ENDOPROTESE) OU COM RECONSTRUCAO E FIXACAO EM ON";-;-;-;-;-;-;-;-;-;-;-;3775,63;3306860,12;5091513,50;3775835,98;12177985,23
"0416090117 DESARTICULACAO INTERESCAPULO-TORACICA EM ONCOLOGIA";-;-;-;-;-;-;-;-;-;-;-;-;47895,59;123912,70;86909,16;258717,45
"0416090125 DESARTICULACAO ESCAPULO-TORACICA INTERNA EM ONCOLOGIA";-;-;-;-;-;-;-;-;-;-;-;-;40925,75;41513,13;51878,21;134317,09
"0416090133 RESSECCAO DE TUMOR DE PARTES MOLES EM ONCOLOGIA";-;-;-;-;-;-;-;-;-;-;-;-;32713490,98;57240535,43;50801940,53;140755966,94
"0416110010 LOBECTOMIA PULMONAR EM ONCOLOGIA";-;-;-;-;-;-;-;-;-;-;-;-;2852167,82;4757861,55;4072681,19;11682710,56
"0416110029 PNEUMOMECTOMIA RADICAL EM ONCOLOGIA";-;-;-;-;-;-;-;-;-;-;-;-;326616,20;445032,14;252619,82;1024268,16
"0416110037 TORACECTOMIA COMPLEXA EM ONCOLOGIA";-;-;-;-;-;-;-;-;-;-;-;-;980846,81;1613618,75;1179226,05;3773691,61
"0416110045 TORACECTOMIA SIMPLES EM ONCOLOGIA";-;-;-;-;-;-;-;-;-;-;-;-;797432,48;1457784,94;1197209,41;3452426,83
"0416110053 TORACOTOMIA EXPLORADORA EM ONCOLOGIA";-;-;-;-;-;-;-;-;-;-;-;-;1482647,81;1860511,55;1549664,90;4892824,26
"0416110061 SEGMENTECTOMIA PULMONAR EM ONCOLOGIA";-;-;-;-;-;-;-;-;-;-;-;-;3023320,98;5221122,18;4705313,21;12949756,37
"0416110070 RESSECCAO PULMONAR EM CUNHA EM ONCOLOGIA";-;-;-;-;-;-;-;-;-;-;-;-;527527,63;758746,00;543509,53;1829783,16
"0416110088 TIMECTOMIA EM ONCOLOGIA";-;-;-;-;-;-;-;-;-;-;-;-;279294,11;468805,52;412472,96;1160572,59
"0416120024 MASTECTOMIA RADICAL COM LINFADENECTOMIA AXILAR EM ONCOLOGIA";-;-;-;-;-;-;-;-;-;-;-;-;15590998,01;24355691,70;18649772,91;58596462,62
"0416120032 MASTECTOMIA SIMPLES EM ONCOLOGIA";-;-;-;-;-;-;-;-;-;-;-;-;7655737,94;13180270,13;11447716,30;32283724,37
"0416120040 RESSECCAO DE LESAO NAO PALPAVEL DE MAMA COM MARCACAO EM ONCOLOGIA (POR MAMA)";-;-;-;-;-;-;-;-;-;-;-;-;6181660,81;10976174,03;9703813,96;26861648,80
"0416120059 SEGMENTECTOMIA/QUADRANTECTOMIA/SETORECTOMIA DE MAMA EM ONCOLOGIA";-;-;-;-;-;-;-;-;-;-;-;-;21482729,76;39855489,27;36518164,03;97856383,06
"0417010010 ANESTESIA OBSTETRICA P/ CESARIANA";-;-;-;-;-;-;-;-;-;-;-;244,72;25046763,73;39995664,60;30520605,61;95563278,66
"0417010028 ANALGESIA OBSTETRICA P/ PARTO NORMAL";-;-;-;-;-;-;-;-;-;-;-;-;3983003,95;6408307,43;4827129,59;15218440,97
"0417010036 ANESTESIA OBSTETRICA P/CESARIANA EM GESTACAO DE ALTO RISCO";-;-;-;-;-;-;-;-;-;-;-;96,60;11014872,96;17681635,02;13607940,57;42304545,15
"0417010044 ANESTESIA GERAL";-;-;-;-;-;-;-;-;-;-;-;462,00;2438297,40;3840963,00;3161033,40;9440755,80
"0417010052 ANESTESIA REGIONAL";-;-;-;-;-;-;-;-;-;-;-;210,00;3893047,20;6661473,00;5962813,86;16517544,06
"0417010060 SEDACAO";-;-;-;-;-;-;-;-;-;-;-;196,93;779724,18;1529851,63;1125297,24;3435069,98
"0418010056 IMPLANTE DE CATETER DUPLO LUMEN NA IRA (INCLUI CATETER)";-;-;-;-;-;-;-;-;-;-;-;4293,90;7508816,11;14441815,73;8472764,46;30427690,20
"0418010072 IMPLANTE DE CATETER TENCKHOFF OU SIMILAR DE LONGA PERMANENCIA NA IRA (INCLUI CATETER)";-;-;-;-;-;-;-;-;-;-;-;-;368724,40;527133,20;439543,06;1335400,66
"0501030069 COLETA E ACONDICIONAMENTO DE MEDULA OSSEA NO BRASIL PARA TRANSPLANTE AUTOGENICO OU DE DOADOR APARENT";-;-;-;-;-;-;-;-;-;-;-;-;2083070,17;3688939,87;2683700,78;8455710,82
"0501040021 IDENTIFICACAO DE DOADOR FALECIDO DE RIM / PANCREAS E RIM-PANCREAS";-;-;-;-;-;-;-;-;-;-;-;-;350,00;-;-;350,00
"0501040064 PROVAS CRUZADAS EM RECEPTORES DE DOADORES FALECIDOS (CROSS MATCH)";-;-;-;-;-;-;-;-;-;-;-;-;675,00;-;-;675,00
"0501060057 EXAME COMPLEMENTAR PARA DIAGNOSTICO DE MORTE ENCEFALICA";-;-;-;-;-;-;-;-;-;-;-;-;2048400,00;3286800,00;2584800,00;7920000,00
"0501070028 SOROLOGIA DE POSSIVEL DOADOR DE ORGAO OU TECIDO EXCETO CORNEA";-;-;-;-;-;-;-;-;-;-;-;-;180792,00;322152,00;289788,00;792732,00
"0501070036 TIPAGEM SANGUINEA ABO E OUTROS EXAMES HEMATOLOGICOS EM POSSIVEL DOADOR DE ORGAOS";-;-;-;-;-;-;-;-;-;-;-;-;30645,00;47085,00;41610,00;119340,00
"0501080015 BIOPSIA E EXAME ANATOMO-CITOPATOLOGICO EM PACIENTE TRANSPLANTADO";-;-;-;-;-;-;-;-;-;-;-;-;47852,00;118765,50;83609,75;250227,25
"0501080023 CONTAGEM DE CD4/CD3 EM PACIENTE TRANSPLANTADO";-;-;-;-;-;-;-;-;-;-;-;-;7076,25;13050,00;10027,50;30153,75
"0501080031 DOSAGEM DE CICLOSPORINA (EM PACIENTE TRANSPLANTADO)";-;-;-;-;-;-;-;-;-;-;-;-;256155,35;386457,05;286035,78;928648,18
"0501080040 DOSAGEM DE SIROLIMO (EM PACIENTE TRANSPLANTADO)";-;-;-;-;-;-;-;-;-;-;-;-;99614,96;158365,07;126920,24;384900,27
"0501080058 DOSAGEM DE TACROLIMO (EM PACIENTE TRANSPLANTADO)";-;-;-;-;-;-;-;-;-;-;-;-;1044840,60;1634846,81;1339062,54;4018749,95
"0501080066 EXAMES DE RADIOLOGIA EM PACIENTE TRANSPLANTADO";-;-;-;-;-;-;-;-;-;-;-;-;40050,00;93765,00;59570,00;193385,00
"0501080074 EXAMES MICROBIOLOGICOS EM PACIENTE TRANSPLANTADO";-;-;-;-;-;-;-;-;-;-;-;-;66992,25;126570,75;88830,00;282393,00
"0501080082 SOROLOGIA EM PACIENTE TRANSPLANTADO";-;-;-;-;-;-;-;-;-;-;-;-;60421,00;104718,00;79022,00;244161,00
"0501080090 ULTRASSONOGRAFIA DE ORGAO TRANSPLANTADO";-;-;-;-;-;-;-;-;-;-;-;-;18170,40;34388,40;27130,80;79689,60
"0501080104 DOSAGEM DE EVEROLIMO (EM PACIENTE TRANSPLANTADO)";-;-;-;-;-;-;-;-;-;-;-;-;15018,70;27046,74;16667,09;58732,53
"0502010010 AVALIACAO CLINICA DE MORTE ENCEFALICA EM MAIOR DE 2 ANOS";-;-;-;-;-;-;-;-;-;-;-;-;838070,00;1322680,00;1062315,00;3223065,00
"0502010029 AVALIACAO CLINICA DE MORTE ENCEFALICA EM MENOR DE 2 ANOS";-;-;-;-;-;-;-;-;-;-;-;-;11000,00;14575,00;10450,00;36025,00
"0503020010 HEPATECTOMIA PARCIAL P/ TRANSPLANTE (DOADOR VIVO)";-;-;-;-;-;-;-;-;-;-;-;-;361050,71;670715,72;610764,64;1642531,07
"0503020028 NEFROURETERECTOMIA UNILATERAL P/ TRANSPLANTE";-;-;-;-;-;-;-;-;-;-;-;-;330433,89;923466,84;889441,19;2143341,92
"0503030015 MANUTENCAO HEMODINAMICA DE POSSIVEL DOADOR E TAXA DE SALA P/ RETIRADA DE ORGAOS";-;-;-;-;-;-;-;-;-;-;-;-;2482110,00;3998790,00;3036420,00;9517320,00
"0503030023 RETIRADA DE CORACAO (PARA TRANSPLANTE)";-;-;-;-;-;-;-;-;-;-;-;-;246513,09;348480,38;330571,16;925564,63
"0503030031 RETIRADA DE CORACAO P/ PROCESSAMENTO DE VALVULA / TUBO VALVADO P/ TRANSPLANTE";-;-;-;-;-;-;-;-;-;-;-;-;31512,00;75608,00;61932,00;169052,00
"0503030040 RETIRADA DE FIGADO (PARA TRANSPLANTE)";-;-;-;-;-;-;-;-;-;-;-;-;4166995,81;6725699,99;5712351,77;16605047,57
"0503030058 RETIRADA DE GLOBO OCULAR UNI / BILATERAL (P/ TRANSPLANTE)";-;-;-;-;-;-;-;-;-;-;-;-;323024,76;1077071,58;1010983,68;2411080,02
"0503030066 RETIRADA DE PANCREAS (PARA TRANSPLANTE)";-;-;-;-;-;-;-;-;-;-;-;-;592918,78;798225,69;563777,00;1954921,47
"0503030074 RETIRADA DE PULMOES (PARA TRANSPLANTE)";-;-;-;-;-;-;-;-;-;-;-;-;78731,04;189034,78;177550,52;445316,34
"0503030082 RETIRADA UNI / BILATERAL DE RIM (PARA TRANSPLANTE) - DOADOR FALECIDO";-;-;-;-;-;-;-;-;-;-;-;-;2801366,88;4331334,83;3743508,38;10876210,09
"0503030090 RETIRADA DE TECIDO OSTEO -FASCIO-CONDRO- LIGAMENTOSO";-;-;-;-;-;-;-;-;-;-;-;-;32760,00;59670,00;57330,00;149760,00
"0503030104 RETIRADA DE PELE PARA TRANSPLANTE";-;-;-;-;-;-;-;-;-;-;-;-;39780,00;66690,00;49140,00;155610,00
"0503040010 COORDENACAO DE SALA CIRURGICA P/ RETIRADA DE ORGAOS E TECIDOS P/ TRANSPLANTE";-;-;-;-;-;-;-;-;-;-;-;-;1038400,00;1630560,00;1353920,00;4022880,00
"0503040029 DESLOCAMENTO INTERESTADUAL DE EQUIPE PROFISSIONAL P/ RETIRADA DE ORGAOS";-;-;-;-;-;-;-;-;-;-;-;-;134190,00;219060,00;234720,00;587970,00
"0503040037 DESLOCAMENTO DE EQUIPE PROFISSIONAL P/ RETIRADA DE ORGAOS - INTERMUNICIPAL";-;-;-;-;-;-;-;-;-;-;-;-;574695,00;898110,00;877230,00;2350035,00
"0503040045 DIARIA DE UNIDADE DE TERAPIA INTENSIVA DE PROVAVEL DOADOR DE ORGAOS";-;-;-;-;-;-;-;-;-;-;-;-;1198332,28;1887017,30;1507070,69;4592420,27
"0503040053 ENTREVISTA FAMILIAR P/ DOACAO DE ORGAOS DE DOADORES EM MORTE ENCEFALICA";-;-;-;-;-;-;-;-;-;-;-;-;1801548,00;2995650,00;2610594,00;7407792,00
"0503040061 ENTREVISTA FAMILIAR PARA DOACAO DE TECIDOS DE DOADORES COM CORACAO PARADO";-;-;-;-;-;-;-;-;-;-;-;-;302988,00;1249626,00;1181376,00;2733990,00
"0503040088 CAPTACAO DE ORGAO EFETIVAMENTE TRANSPLANTADO";-;-;-;-;-;-;-;-;-;-;-;-;1201798,00;1828814,00;1546428,00;4577040,00
"0504010018 CONTAGEM DE CELULAS ENDOTELIAIS DA CORNEA";-;-;-;-;-;-;-;-;-;-;-;-;36158,40;145735,20;116251,20;298144,80
"0504010034 SEPARACAO E AVALIACAO BIOMICROSCOPICA DA CORNEA";-;-;-;-;-;-;-;-;-;-;-;-;265118,40;1006128,00;925711,20;2196957,60
"0504020013 PROCESSAMENTO DE TECIDO MUSCULOESQUELETICO (05-25 GR)";-;-;-;-;-;-;-;-;-;-;-;-;-;-;290,00;290,00
"0504020021 PROCESSAMENTO DE TECIDO MUSCULOESQUELETICO (101-200 GR)";-;-;-;-;-;-;-;-;-;-;-;-;50375,00;81375,00;58900,00;190650,00
"0504020030 PROCESSAMENTO DE TECIDO MUSCULOESQUELETICO (201-300 GR)";-;-;-;-;-;-;-;-;-;-;-;-;4420,00;8840,00;-;13260,00
"0504020048 PROCESSAMENTO DE TECIDO MUSCULOESQUELETICO (26-50 GR)";-;-;-;-;-;-;-;-;-;-;-;-;3835,00;10915,00;10915,00;25665,00
"0504020056 PROCESSAMENTO DE TECIDO MUSCULOESQUELETICO (51-100 GR)";-;-;-;-;-;-;-;-;-;-;-;-;84360,00;85500,00;44460,00;214320,00
"0504030027 PROCESSAMENTO DE VALVULA CARDIACA HUMANA";-;-;-;-;-;-;-;-;-;-;-;-;151351,50;177192,00;280554,00;609097,50
"0505010011 TRANSPLANTE ALOGENICO DE CELULAS-TRONCO HEMATOPOETICAS DE MEDULA OSSEA - APARENTADO";-;-;-;-;-;-;-;-;-;-;-;-;19797197,94;31127279,75;24342476,88;75266954,57
"0505010020 TRANSPLANTE ALOGENICO DE CELULAS-TRONCO HEMATOPOETICAS DE MEDULA OSSEA - NAO APARENTADO";-;-;-;-;-;-;-;-;-;-;-;-;7472780,12;13377606,58;9107024,59;29957411,29
"0505010046 TRANSPLANTE ALOGENICO DE CELULAS-TRONCO HEMATOPOETICAS DE SANGUE DE CORDAO UMBILICAL DE NAO APAR";-;-;-;-;-;-;-;-;-;-;-;-;450078,54;340220,11;339297,32;1129595,97
"0505010054 TRANSPLANTE ALOGENICO DE CELULAS-TRONCO HEMATOPOETICAS DE SANGUE PERIFERICO - APARENTADO";-;-;-;-;-;-;-;-;-;-;-;-;22831620,36;37070581,45;26492268,65;86394470,46
"0505010062 TRANSPLANTE ALOGENICO DE CELULAS-TRONCO HEMATOPOETICAS DE SANGUE PERIFERICO - NAO APARENTADO";-;-;-;-;-;-;-;-;-;-;-;-;4797480,95;9978392,88;9864614,56;24640488,39
"0505010070 TRANSPLANTE AUTOGENICO DE CELULAS-TRONCO HEMATOPOETICAS DE MEDULA OSSEA -";-;-;-;-;-;-;-;-;-;-;-;-;3013341,20;4417202,82;3318621,27;10749165,29
"0505010089 TRANSPLANTE AUTOGENICO DE CELULAS-TRONCO HEMATOPOETICAS DE SANGUE PERIFERICO -";-;-;-;-;-;-;-;-;-;-;-;-;14878122,91;29061065,40;26419003,97;70358192,28
"0505010097 TRANSPLANTE DE CORNEA";-;-;-;-;-;-;-;-;-;-;-;-;2120353,88;6845855,63;5333995,21;14300204,72
"0505010100 TRANSPLANTE DE CORNEA (EM CIRURGIAS COMBINADAS)";-;-;-;-;-;-;-;-;-;-;-;-;26933,87;85045,65;-;111979,52
"0505010119 TRANSPLANTE DE CORNEA (EM REOPERACOES)";-;-;-;-;-;-;-;-;-;-;-;-;29191,43;90873,71;-;120065,14
"0505010127 TRANSPLANTE DE ESCLERA";-;-;-;-;-;-;-;-;-;-;-;-;41658,99;63127,14;39519,38;144305,51
"0505010135 TRANSPLANTE DE CORNEA (EM CIRURGIAS COMBINADAS OU EM REOPERACOES)";-;-;-;-;-;-;-;-;-;-;-;-;-;-;286501,02;286501,02
"0505020017 PARTICIPACAO DE EQUIPE NEFROLOGICA EM TRANSPLANTE RENAL DE DOADOR FALECIDO";-;-;-;-;-;-;-;-;-;-;-;-;5428339,42;8353012,96;7555690,15;21337042,53
"0505020025 PARTICIPACAO DE EQUIPE NEFROLOGICA EM TRANSPLANTE RENAL DE DOADOR VIVO";-;-;-;-;-;-;-;-;-;-;-;-;235800,48;612157,50;683466,57;1531424,55
"0505020033 PARTICIPACAO DE EQUIPE NEFROLOGICA EM TRANSPLANTE SIMULTANEO DE PANCREAS E RIM";-;-;-;-;-;-;-;-;-;-;-;-;43799,75;93104,71;54463,83;191368,29
"0505020041 TRANSPLANTE DE CORACAO";-;-;-;-;-;-;-;-;-;-;-;-;9668338,74;14338404,30;12433144,49;36439887,53
"0505020050 TRANSPLANTE DE FIGADO (ORGAO DE DOADOR FALECIDO)";-;-;-;-;-;-;-;-;-;-;-;-;110686764,47;165709871,67;132595290,22;408991926,36
"0505020068 TRANSPLANTE DE FIGADO (ORGAO DE DOADOR VIVO)";-;-;-;-;-;-;-;-;-;-;-;-;5456953,30;9981964,76;8857081,50;24295999,56
"0505020076 TRANSPLANTE DE PANCREAS";-;-;-;-;-;-;-;-;-;-;-;-;964422,36;1534299,61;488916,81;2987638,78
"0505020084 TRANSPLANTE DE PULMAO UNILATERAL";-;-;-;-;-;-;-;-;-;-;-;-;418125,07;924914,95;737931,22;2080971,24
"0505020092 TRANSPLANTE DE RIM (ORGAO DE DOADOR FALECIDO)";-;-;-;-;-;-;-;-;-;-;-;-;90860955,45;143835490,40;114677989,02;349374434,87
"0505020106 TRANSPLANTE DE RIM (ORGAO DE DOADOR VIVO)";-;-;-;-;-;-;-;-;-;-;-;-;5350746,64;14235921,36;13788422,95;33375090,95
"0505020114 TRANSPLANTE SIMULTANEO DE PANCREAS E RIM";-;-;-;-;-;-;-;-;-;-;-;-;3381655,57;5245478,94;4139082,59;12766217,10
"0505020122 TRANSPLANTE DE PULMAO BILATERAL";-;-;-;-;-;-;-;-;-;-;-;-;1520014,91;4105299,32;3379758,01;9005072,24
"0506010058 AVALIACAO DO POSSIVEL DOADOR FALECIDO DE ORGAOS OU TECIDOS PARA TRANSPLANTES";-;-;-;-;-;-;-;-;-;-;-;-;1288280,00;2500880,00;2130650,00;5919810,00
"0506020010 INTERCORRENCIA POS TRANSPLANTE ALOGENICO DE CELULAS-TRONCO HEMATOPOETICAS - NAO APARENTADO (HOSPITA";-;-;-;-;-;-;-;-;-;-;-;-;364592,18;741512,40;550247,00;1656351,58
"0506020029 INTERCORRENCIA POS-TRANSPLANTE AUTOGENICO DE CELULAS-TRONCO HEMATOPOETICAS (HOSPITAL DIA)";-;-;-;-;-;-;-;-;-;-;-;-;122530,86;291804,34;210658,45;624993,65
"0506020037 TRATAMENTO DE INTERCORRENCIA POS-TRANSPLANTE ALOGENICO DE CELULAS-TRONCO HEMATOPOETICAS DE APARENTAD";-;-;-;-;-;-;-;-;-;-;-;-;1452714,06;2573169,04;1980833,93;6006717,03
"0506020045 TRATAMENTO DE INTERCORRENCIA POS-TRANSPLANTE DE ORGAOS / CELULAS-TRONCO HEMATOPOETICAS";-;-;-;-;-;-;-;-;-;-;-;-;16116309,73;24405100,52;20098344,87;60619755,12
"0506020053 TRATAMENTO DE INTERCORRENCIA POS-TRANSPLANTE DE RIM - POS TRANSPLANTE CRITICO";-;-;-;-;-;-;-;-;-;-;-;-;1461894,77;2091300,30;1997432,48;5550627,55
"0506020061 TRATAMENTO DE INTERCORRENCIA POS TRANSPLANTE DE CORACAO- POS TRANSPLANTE CRITICO";-;-;-;-;-;-;-;-;-;-;-;-;680371,49;962811,97;1061189,99;2704373,45
"0506020070 TRATAMENTO DE INTERCORRENCIA POS TRANSPLANTE DE PULMAO UNI/BILATERAL - POS TRANSPLANTE CRITICO";-;-;-;-;-;-;-;-;-;-;-;-;175254,46;345949,44;305154,15;826358,05
"0506020088 TRATAMENTO DE INTERCORRENCIA POS TRANSPLANTE SIMULTANEO DE RIM/PANCREAS OU PANCREAS ISOLADO- POS";-;-;-;-;-;-;-;-;-;-;-;-;252810,10;498036,50;392109,00;1142955,60
"0506020096 TRATAMENTO DE INTERCORRENCIA POS TRANSPLANTE DE FIGADO- POS TRANSPLANTE CRITICO";-;-;-;-;-;-;-;-;-;-;-;-;3498152,84;5960195,36;5415518,24;14873866,44
"0506020100 TRATAMENTO DE INTERCORRENCIA POS TRANSPLANTE ALOGENICO DE CELULAS-TRONCO HEMATOPOETICAS- POS TRA";-;-;-;-;-;-;-;-;-;-;-;-;2057199,64;3013526,66;2539300,92;7610027,22
"0506020118 TRATAMENTO DE INTERCORRENCIA POS TRANSPLANTE AUTOLOGO DE CELULAS-TRONCO HEMATOPOETICAS- POS TRAN";-;-;-;-;-;-;-;-;-;-;-;-;167844,29;240509,71;238147,44;646501,44
"0603010016 METILPREDNISOLONA 500 MG INJENTAVEL (POR AMPOLA)";-;-;-;-;-;-;-;-;-;-;-;-;26832,94;49065,18;42577,05;118475,17
"0603020011 CICLOSPORINA 50MG (POR CAPSULA)";-;-;-;-;-;-;-;-;-;-;-;-;11049,28;13737,14;13479,45;38265,87
"0603020020 CICLOSPORINA 100MG (POR CAPSULA)";-;-;-;-;-;-;-;-;-;-;-;-;28707,65;46745,27;34109,05;109561,97
"0603020038 CICLOSPORINA 100MG/ML SOLUCAO ORAL";-;-;-;-;-;-;-;-;-;-;-;-;50585,40;180722,70;88171,20;319479,30
"0603020046 CICLOSPORINA 25MG (POR CAPSULA)";-;-;-;-;-;-;-;-;-;-;-;-;7096,50;8784,00;7839,00;23719,50
"0603020054 CICLOSPORINA 50 MG INJETAVEL (POR FRASCO-AMPOLA)";-;-;-;-;-;-;-;-;-;-;-;-;17114,85;31218,45;20246,55;68579,85
